ITS2,Clade,Majority,sample_id,its2_count,species,region,reef
84568,A,A1/A1c,PDOG-R1-14,16758,P,DOG,R1
85591,A,A1,PDOG-R1-14,0,P,DOG,R1
84566,A,A1,PDOG-R1-14,0,P,DOG,R1
85585,A,A1/A1c,PDOG-R1-14,0,P,DOG,R1
85596,A,A1,PDOG-R1-14,0,P,DOG,R1
84552,A,A1,PDOG-R1-14,0,P,DOG,R1
84603,A,A1,PDOG-R1-14,0,P,DOG,R1
84604,A,A1/A1cz,PDOG-R1-14,0,P,DOG,R1
84607,A,A1,PDOG-R1-14,0,P,DOG,R1
85615,A,A1,PDOG-R1-14,0,P,DOG,R1
84574,A,A1j,PDOG-R1-14,0,P,DOG,R1
85623,A,A1,PDOG-R1-14,0,P,DOG,R1
84609,A,A1,PDOG-R1-14,0,P,DOG,R1
85599,A,A1,PDOG-R1-14,0,P,DOG,R1
84576,A,A1/A1bz,PDOG-R1-14,0,P,DOG,R1
85661,A,A1j,PDOG-R1-14,0,P,DOG,R1
84569,A,A1,PDOG-R1-14,0,P,DOG,R1
85595,A,A1,PDOG-R1-14,0,P,DOG,R1
85624,A,A1,PDOG-R1-14,0,P,DOG,R1
84608,A,A1,PDOG-R1-14,0,P,DOG,R1
84571,A,A1,PDOG-R1-14,0,P,DOG,R1
85625,A,A1,PDOG-R1-14,0,P,DOG,R1
84606,A,A1,PDOG-R1-14,0,P,DOG,R1
84572,A,A1/A1j,PDOG-R1-14,0,P,DOG,R1
85600,A,A1,PDOG-R1-14,0,P,DOG,R1
84575,A,A1j,PDOG-R1-14,0,P,DOG,R1
84570,A,A1,PDOG-R1-14,0,P,DOG,R1
84591,A,A1,PDOG-R1-14,0,P,DOG,R1
84613,A,A1,PDOG-R1-14,0,P,DOG,R1
84679,A,A1,PDOG-R1-14,0,P,DOG,R1
84573,A,A1,PDOG-R1-14,0,P,DOG,R1
85583,A,A1,PDOG-R1-14,0,P,DOG,R1
84605,A,A1,PDOG-R1-14,0,P,DOG,R1
85594,A,A1,PDOG-R1-14,0,P,DOG,R1
85611,A,A1,PDOG-R1-14,0,P,DOG,R1
85654,A,A1cc,PDOG-R1-14,0,P,DOG,R1
85660,A,A1/A1bv,PDOG-R1-14,0,P,DOG,R1
84553,A,A1,PDOG-R1-14,0,P,DOG,R1
84555,A,A1,PDOG-R1-14,0,P,DOG,R1
85584,A,A1,PDOG-R1-14,0,P,DOG,R1
85589,A,A1,PDOG-R1-14,0,P,DOG,R1
84614,A,A1,PDOG-R1-14,0,P,DOG,R1
84567,A,A1,PDOG-R1-14,0,P,DOG,R1
85590,A,A1ej,PDOG-R1-14,0,P,DOG,R1
85601,A,A1,PDOG-R1-14,0,P,DOG,R1
84599,A,A1,PDOG-R1-14,0,P,DOG,R1
85655,A,A1cl,PDOG-R1-14,0,P,DOG,R1
84647,A,A7,PDOG-R1-14,0,P,DOG,R1
84736,B,B1g,PDOG-R1-14,0,P,DOG,R1
85083,C,C3,PDOG-R1-14,0,P,DOG,R1
85439,C,C1/C1h,PDOG-R1-14,0,P,DOG,R1
85464,C,C72,PDOG-R1-14,0,P,DOG,R1
85138,C,C15h,PDOG-R1-14,0,P,DOG,R1
85463,C,C21,PDOG-R1-14,0,P,DOG,R1
84835,C,C1,PDOG-R1-14,0,P,DOG,R1
84927,C,C21,PDOG-R1-14,0,P,DOG,R1
84877,C,C21,PDOG-R1-14,0,P,DOG,R1
84881,C,C116,PDOG-R1-14,0,P,DOG,R1
85462,C,C21,PDOG-R1-14,0,P,DOG,R1
84880,C,C72,PDOG-R1-14,0,P,DOG,R1
84879,C,C21,PDOG-R1-14,0,P,DOG,R1
84926,C,C72,PDOG-R1-14,0,P,DOG,R1
85151,C,C1/C93a,PDOG-R1-14,0,P,DOG,R1
84785,C,C1,PDOG-R1-14,0,P,DOG,R1
84932,C,C163b,PDOG-R1-14,0,P,DOG,R1
85489,C,C15/C3z,PDOG-R1-14,0,P,DOG,R1
85490,C,C3z,PDOG-R1-14,0,P,DOG,R1
85054,C,C15,PDOG-R1-14,0,P,DOG,R1
85651,C,C93a,PDOG-R1-14,0,P,DOG,R1
85145,C,C21,PDOG-R1-14,0,P,DOG,R1
85670,C,C116,PDOG-R1-14,0,P,DOG,R1
85198,C,C72,PDOG-R1-14,0,P,DOG,R1
84781,C,C1,PDOG-R1-14,0,P,DOG,R1
84782,C,C41,PDOG-R1-14,0,P,DOG,R1
84844,C,C50b,PDOG-R1-14,0,P,DOG,R1
84845,C,C3,PDOG-R1-14,0,P,DOG,R1
84864,C,C3k,PDOG-R1-14,0,P,DOG,R1
84878,C,C15h,PDOG-R1-14,0,P,DOG,R1
84913,C,C15,PDOG-R1-14,0,P,DOG,R1
84935,C,C3z,PDOG-R1-14,0,P,DOG,R1
85488,C,C116,PDOG-R1-14,0,P,DOG,R1
85250,D,D1/D6,PDOG-R1-14,0,P,DOG,R1
85561,D,D1,PDOG-R1-14,0,P,DOG,R1
85268,D,D1,PDOG-R1-14,0,P,DOG,R1
85551,D,D4,PDOG-R1-14,0,P,DOG,R1
85384,G,G3b,PDOG-R1-14,0,P,DOG,R1
85586,A,A1,PDOG-R1-16,19712,P,DOG,R1
85581,A,A1,PDOG-R1-16,0,P,DOG,R1
84568,A,A1/A1c,PDOG-R1-16,0,P,DOG,R1
85591,A,A1,PDOG-R1-16,0,P,DOG,R1
84566,A,A1,PDOG-R1-16,0,P,DOG,R1
85585,A,A1/A1c,PDOG-R1-16,0,P,DOG,R1
85596,A,A1,PDOG-R1-16,0,P,DOG,R1
84552,A,A1,PDOG-R1-16,0,P,DOG,R1
84603,A,A1,PDOG-R1-16,0,P,DOG,R1
84604,A,A1/A1cz,PDOG-R1-16,0,P,DOG,R1
84607,A,A1,PDOG-R1-16,0,P,DOG,R1
85615,A,A1,PDOG-R1-16,0,P,DOG,R1
84574,A,A1j,PDOG-R1-16,0,P,DOG,R1
85623,A,A1,PDOG-R1-16,0,P,DOG,R1
84609,A,A1,PDOG-R1-16,0,P,DOG,R1
85599,A,A1,PDOG-R1-16,0,P,DOG,R1
84576,A,A1/A1bz,PDOG-R1-16,0,P,DOG,R1
85661,A,A1j,PDOG-R1-16,0,P,DOG,R1
84569,A,A1,PDOG-R1-16,0,P,DOG,R1
85595,A,A1,PDOG-R1-16,0,P,DOG,R1
85624,A,A1,PDOG-R1-16,0,P,DOG,R1
84608,A,A1,PDOG-R1-16,0,P,DOG,R1
84571,A,A1,PDOG-R1-16,0,P,DOG,R1
85625,A,A1,PDOG-R1-16,0,P,DOG,R1
84606,A,A1,PDOG-R1-16,0,P,DOG,R1
84572,A,A1/A1j,PDOG-R1-16,0,P,DOG,R1
85600,A,A1,PDOG-R1-16,0,P,DOG,R1
84575,A,A1j,PDOG-R1-16,0,P,DOG,R1
84570,A,A1,PDOG-R1-16,0,P,DOG,R1
84591,A,A1,PDOG-R1-16,0,P,DOG,R1
84613,A,A1,PDOG-R1-16,0,P,DOG,R1
84679,A,A1,PDOG-R1-16,0,P,DOG,R1
84573,A,A1,PDOG-R1-16,0,P,DOG,R1
85583,A,A1,PDOG-R1-16,0,P,DOG,R1
84605,A,A1,PDOG-R1-16,0,P,DOG,R1
85594,A,A1,PDOG-R1-16,0,P,DOG,R1
85611,A,A1,PDOG-R1-16,0,P,DOG,R1
85654,A,A1cc,PDOG-R1-16,0,P,DOG,R1
85660,A,A1/A1bv,PDOG-R1-16,0,P,DOG,R1
84553,A,A1,PDOG-R1-16,0,P,DOG,R1
84555,A,A1,PDOG-R1-16,0,P,DOG,R1
85584,A,A1,PDOG-R1-16,0,P,DOG,R1
85589,A,A1,PDOG-R1-16,0,P,DOG,R1
84614,A,A1,PDOG-R1-16,0,P,DOG,R1
84567,A,A1,PDOG-R1-16,0,P,DOG,R1
85590,A,A1ej,PDOG-R1-16,0,P,DOG,R1
85601,A,A1,PDOG-R1-16,0,P,DOG,R1
84599,A,A1,PDOG-R1-16,0,P,DOG,R1
85655,A,A1cl,PDOG-R1-16,0,P,DOG,R1
84647,A,A7,PDOG-R1-16,0,P,DOG,R1
84736,B,B1g,PDOG-R1-16,0,P,DOG,R1
85083,C,C3,PDOG-R1-16,0,P,DOG,R1
85439,C,C1/C1h,PDOG-R1-16,0,P,DOG,R1
85464,C,C72,PDOG-R1-16,0,P,DOG,R1
85138,C,C15h,PDOG-R1-16,0,P,DOG,R1
85463,C,C21,PDOG-R1-16,0,P,DOG,R1
84835,C,C1,PDOG-R1-16,0,P,DOG,R1
84927,C,C21,PDOG-R1-16,0,P,DOG,R1
84877,C,C21,PDOG-R1-16,0,P,DOG,R1
84881,C,C116,PDOG-R1-16,0,P,DOG,R1
85462,C,C21,PDOG-R1-16,0,P,DOG,R1
84880,C,C72,PDOG-R1-16,0,P,DOG,R1
84879,C,C21,PDOG-R1-16,0,P,DOG,R1
84926,C,C72,PDOG-R1-16,0,P,DOG,R1
85151,C,C1/C93a,PDOG-R1-16,0,P,DOG,R1
84785,C,C1,PDOG-R1-16,0,P,DOG,R1
84932,C,C163b,PDOG-R1-16,0,P,DOG,R1
85489,C,C15/C3z,PDOG-R1-16,0,P,DOG,R1
85490,C,C3z,PDOG-R1-16,0,P,DOG,R1
85054,C,C15,PDOG-R1-16,0,P,DOG,R1
85651,C,C93a,PDOG-R1-16,0,P,DOG,R1
85145,C,C21,PDOG-R1-16,0,P,DOG,R1
85670,C,C116,PDOG-R1-16,0,P,DOG,R1
85198,C,C72,PDOG-R1-16,0,P,DOG,R1
84781,C,C1,PDOG-R1-16,0,P,DOG,R1
84782,C,C41,PDOG-R1-16,0,P,DOG,R1
84844,C,C50b,PDOG-R1-16,0,P,DOG,R1
84845,C,C3,PDOG-R1-16,0,P,DOG,R1
84864,C,C3k,PDOG-R1-16,0,P,DOG,R1
84878,C,C15h,PDOG-R1-16,0,P,DOG,R1
84913,C,C15,PDOG-R1-16,0,P,DOG,R1
84935,C,C3z,PDOG-R1-16,0,P,DOG,R1
85488,C,C116,PDOG-R1-16,0,P,DOG,R1
85250,D,D1/D6,PDOG-R1-16,0,P,DOG,R1
85561,D,D1,PDOG-R1-16,0,P,DOG,R1
85268,D,D1,PDOG-R1-16,0,P,DOG,R1
85551,D,D4,PDOG-R1-16,0,P,DOG,R1
85384,G,G3b,PDOG-R1-16,0,P,DOG,R1
85586,A,A1,PDOG-R1-18,0,P,DOG,R1
85581,A,A1,PDOG-R1-18,16383,P,DOG,R1
84568,A,A1/A1c,PDOG-R1-18,0,P,DOG,R1
85591,A,A1,PDOG-R1-18,0,P,DOG,R1
84566,A,A1,PDOG-R1-18,0,P,DOG,R1
85585,A,A1/A1c,PDOG-R1-18,0,P,DOG,R1
85596,A,A1,PDOG-R1-18,0,P,DOG,R1
84552,A,A1,PDOG-R1-18,0,P,DOG,R1
84603,A,A1,PDOG-R1-18,0,P,DOG,R1
84604,A,A1/A1cz,PDOG-R1-18,0,P,DOG,R1
84607,A,A1,PDOG-R1-18,0,P,DOG,R1
85615,A,A1,PDOG-R1-18,0,P,DOG,R1
84574,A,A1j,PDOG-R1-18,0,P,DOG,R1
85623,A,A1,PDOG-R1-18,0,P,DOG,R1
84609,A,A1,PDOG-R1-18,0,P,DOG,R1
85599,A,A1,PDOG-R1-18,0,P,DOG,R1
84576,A,A1/A1bz,PDOG-R1-18,0,P,DOG,R1
85661,A,A1j,PDOG-R1-18,0,P,DOG,R1
84569,A,A1,PDOG-R1-18,0,P,DOG,R1
85595,A,A1,PDOG-R1-18,0,P,DOG,R1
85624,A,A1,PDOG-R1-18,0,P,DOG,R1
84608,A,A1,PDOG-R1-18,0,P,DOG,R1
84571,A,A1,PDOG-R1-18,0,P,DOG,R1
85625,A,A1,PDOG-R1-18,0,P,DOG,R1
84606,A,A1,PDOG-R1-18,0,P,DOG,R1
84572,A,A1/A1j,PDOG-R1-18,0,P,DOG,R1
85600,A,A1,PDOG-R1-18,0,P,DOG,R1
84575,A,A1j,PDOG-R1-18,0,P,DOG,R1
84570,A,A1,PDOG-R1-18,0,P,DOG,R1
